address,ath_mc,ath_token_symbol,ath_token_address,last_token_date,token_deployed,avg_tokens_per_day,avg_market_cap,median_market_cap,total_creator_fees,realized_pnl_usd,total_pnl_usd,winrate,launchpads_used
m6X8Xe3NshDZ59B5ufr7kcF8LByV4f6VieaPNriafqX,10872.619,PUMP,AXs8fe6xAv9gQv3pEXQJ4SzL688P8BTqEDKoggMmndpj,2025-11-28 14:16:42,364,2,3901.71,3892.38,0.266307,-1912.68,-1927.18,0,Pump.fun
4iPs8kh9MVBVMoCHcTHt3mkPTACtcwoCcAVNEYSJJSdN,38836.84,Antonio,76CDtgWfvEP8Z5WSpcsJ6ehvKj95bBMWR8KXkAuDpump,2026-01-26 15:39:59,362,2,3949.1,3561.62,4.795113,-742.17,-742.17,36.54,"Pump.fun, letsbonk"
AS25HYWuQ5c8wgD8VTpjt5oi5vYErm1R46XGr3a2i535,451482.18,Bitcoinius,F7UBfwNqorDgsvUZ6YPCsogSNaZoH7qvsXvdpPdupump,2026-03-20 16:25:26,359,2,2495.81,2406.21,16.247673,82843.23,82843.23,38.34,"Pump.fun, bonkers, letsbonk"
GyiMhHvLHVqJAN4zxP9AbN2ApstucwcDAmyz7H5unJpo,127219.73,PlaiPin,3QoNRqqBWng77JUTWbrHFjcb7YGhYmE6rGPvZEg1pump,2025-11-06 20:31:04,356,2,4505.85,4525.93,15.61254,95016.26,95016.26,90.46,Pump.fun
69aiAKU3uJMxMLRkUEGFNt6nQ43PiVimE4ZbErJ7VSM1,20478746.65,retire,zGh48JtNHVBb5evgoZLXwgPD2Qu4MhkWdJLGDAupump,2026-03-21 20:17:07,355,2,39998.74,2534.77,178.138437,218428.84,218423.69,51.76,"Pump.fun, letsbonk, pump_agent"
8mHZLYaSmZ8LkS1ruvj5g4NMX7oDCZGY5V1NP5C51Fc7,828950.0861,CUM,TCrakC8FvAs1m3T4pxeLLZN13PkLsGEbHfjaUE53MwC,2025-12-11 19:00:51,353,2,3808.72,3842.67,8.009641,38978.8,38978.61,64.5,Pump.fun
HRFSMBd2GYJtcHfUP6jkxeztsMJwBoZxqENuYvUB4uUe,732856.8539,CHEFCRAB,4ytEzGeiwqXgx7WENQrid29Q85kYJAT9RgivF6n1pump,2025-10-27 20:40:43,350,2,5212.39,5417.41,79.197572,1580.31,1580.31,16.56,"Pump.fun, letsbonk"
8Tvc58uAkUbpQ9w1a4dnayYjfrGAHqixNgPa9kBNUoNb,298746.99,FCBRWH,E2iyJnLo4mBM7JhDNCxn2DD51Y1Z4FLgpK2m9g8Epump,2026-03-17 11:37:49,350,2,3802.29,3847.48,74.131686,-13695.69,-13695.69,35.44,"Pump.fun, bags, boop, letsbonk, pump_mayhem"
J4z7cUniJUtm9qT8YqqFibVVQFyc3QLLHSNeiQL9bQjk,971153.21,CELESTE,7ynBFEr8Q5KoY7CoSnWuE1Uz4513WLaMTeWdUNv1pump,2025-11-22 12:03:44,344,2,5461.56,5381.44,194.742695,3773.44,3773.44,24.57,"Pump.fun, letsbonk"
BuMf7PbCVzpViTNTpfJuwDDba4G1UXJRvFHgTGycUttp,1295835.723,DF,7j2sxgmh1PeWDGS3uh5zeV9jZeHohBFdWnxtX84zpump,2026-03-19 4:45:41,343,2,2396.96,2547.17,2.301653,88913.14,88872.09,33.93,"Pump.fun, pump_agent, pump_mayhem"
BdAaPPyE4498Axe93wFLQsdorBGLH7yGgSCwRz9mDBJ7,20135.19194,wojakmas,AP1VYb9pQtMGc5Eph3rKvLEuvU5dP1vixELyvq44pump,2025-11-20 9:58:50,342,2,4501.97,4559.49,2.769278,-297.31,-297.31,26.36,Pump.fun
8HvEMZaWqbjzCwAStvdKKRRgVowrdtPQrx8UK6sSPhz6,8179.7747,sexcoin,6J15pNqMyYw77RYGeJDTAA1FbiLPRKJE2s54TLZopump,2025-11-01 20:58:33,341,2,5265.09,5217.33,0.128109,-230.11,-230.11,0.29,Pump.fun
heroicyUXsnwmowT81cJo6gzC8KXBqPLG5xj3Qjybzm,54142.255,louvre,CmErvQ4cDVWETbdHSchWtJY1nP66SAgNKvCcN4XkgnkA,2025-10-28 0:11:15,339,2,5790.85,5796.1,7.698631,26768.99,26768.99,51.61,"Pump.fun, letsbonk"
348UPyh3ziMb5FBndgab7TbSzHFGzxXRtJ9GpGFL6hfN,298079.96,bltcoin,9anZuCXH6Guesi834E4Bn8ZuYE7nuz7VkTnhbpA6bonk,2026-02-12 0:24:17,337,2,2393.78,2376.59,10.056083,60201.29,60201.29,51.71,"Pump.fun, letsbonk"
5htGpHK2oV9g2BcDqLdRBqjCLdy8mc3fsESfR5DU73eM,520888.5123,Snorlax,FdFGgnPm2HN4EAwCvZrb5GGPa8wHsBc5aBVS1Fgcpump,2026-03-21 6:47:04,336,2,2562.28,2567.12,3.116391,183281.73,183281.73,65.64,"Pump.fun, letsbonk, pump_agent"
Ke5KHWVWvr1pi7iNPDxyUCtR1HPE6whfNo3YMqqogUD,57061.065,MoonMouse,jxC3vZQWPJ4r6qFfFxicxjdKdabSU5py72pAwe8pump,2025-11-05 12:51:07,336,2,4905.05,4931.05,6.231722,5323.31,5323.31,18.07,"Pump.fun, letsbonk"
H6ctQWxrXg6ggNutnnLSJPJwQZgKcHXHnGSBw5JaYEBh,1442012.328,motorkitty,C7DGCPkyZFDGtbFBhyRurwB37uFc8o1hrBNxjz5Apump,2026-03-21 9:26:56,336,2,2512.67,2494.04,1.06176,16733.46,16733.46,47.79,"Pump.fun, pump_agent"
ALD7aJGfymztcyEUnfJFJ3b8bmeM4AXFKTVSLXnP2D41,15864.95,Gayify,AMACLBpZMvJy6yPcZMNfRqaBq3xWmbFede1bU1d8pump,2025-11-06 14:15:11,335,2,4840.03,4563.03,1.388089,4942.22,4942.22,26.44,"Pump.fun, letsbonk"
Cy5F3pWsxuDuach7DaKM3hT11uaJn1QoVDMwGc6kUoMV,47086.886,WFX,33cBEsW4cWoCrbod3voJN4o4r84GGiyjBkrAs6hsbonk,2025-09-30 9:36:32,334,2,5608.53,5934.74,5.230184,23205.82,23193.31,38.13,"Pump.fun, letsbonk"
GH9yk8vgFvHnAD8JZqXxr3hBN1Lr1mJ9NPzrP5mVqiJe,7212464.295,Eagy,5zGmWmBbs6w9krsE3DFb3C4yQrqh2fGxBe6EykWBbonk,2026-03-21 3:15:59,334,2,2532.38,2419.73,101.741109,725601.38,725603.27,91.02,"Pump.fun, bonkers, letsbonk, pump_agent"
4qqJuMvVtBbtvwFB7E7RXHCd2CEYcGcQvcjdUL66bgf5,133809.5274,MrFinance,F4ij79QymLh6g7SmcaDY8KMiDNCQ4q5U8vETWabwpump,2026-03-04 16:23:43,333,2,2439.24,2394.21,29.902197,107495.25,107490.52,46,Pump.fun
4jnyJjRNgGjSQ6xxYpxyEfDTMmYNan8WD1p5mpQZiLcF,98024.977,Qvac,8h6x1nSkURMSK7ZzXrf2JaYVtwwrknCtchBNsnjLpump,2025-11-10 15:24:30,333,2,4802.48,4741.82,19.338307,22687.11,22687.11,40.15,"Pump.fun, letsbonk"
Dq3fi8ZmBhkrwHFBChLk2pqV8iAGW9uuJP7coshGzqT6,525590.4781,ABRAM,BVfm3bdmJUa8eDipw8jrSfhGbz2wjZfHJuVfw5Kypump,2026-03-22 7:38:50,331,2,2522.14,2528.62,1.413791,295238.3,295037.17,16.31,"Pump.fun, pump_agent"
Dr8Ej9Vd4od5euVvmAnMwscFmtFZVt7PgjrReFUSJGhf,1783178.549,sendit,8ztixkSGb1sdq4cBAA44NRAdkUZBuRz9snquq72Gpump,2026-03-15 23:31:26,331,2,2410.6,2402.59,3.567365,112007.88,112006.33,51.23,"Pump.fun, pump_agent"
5vPNsVwTJCCpDUZZUAeDoPvtqDh9wRgYe5fiNozniUX2,155066.93,TNE,2Hbr67TMw5iskYihpABY8hFkdDdcdCQAMkw7ZGy5bonk,2025-11-19 1:36:34,329,2,3914.22,3944.73,17.882655,95785.33,95785.33,85.59,"Pump.fun, letsbonk"
CtWSzjURUGNRENnZwfRx4X5d4pG5sVy1QbsUhwWLS53r,752401.21,rise,Egsnb9CEQcrSo2RB5pBHKaBDoPNVtNPq5ANgajFwpump,2026-03-10 16:21:16,326,2,3539.98,3610.87,205.834993,45034.21,45034.21,27.76,"Pump.fun, bags, letsbonk"
5H7nA4zmyQcKVau8QnVtfvbd9q6r3jZyDpVivUnyKVwp,39509.01,ONBOARDING,P75j5QmQib9Afb7ZdVw5xosjUDZkoLY215H2E7kpump,2026-03-18 0:47:05,326,2,2421.69,2390.59,23.172817,-1535.35,-1535.35,13.12,Pump.fun
