Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
31KGHqFCwrHLSBAVPnhoSecxhSXnLTWBLXH6jCnacuwMd6RVvpyRLWzbTiYc1DNhVq3eA8hsTWrmVaKHEqR8c28,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
3NXpMz6UfWKSL4kWeui9yMnCpwMwioz9PdAP849MU1y8QtxSN8GoEYj2byC5NSYQTB9YLWfFySMApHwF7PyNYGKj,1774692396,2026-03-28T10:06:36.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
6ytP9xopLwU1qoPVRr1SeApD3w2Ev2jHFhndWfJ3mYkH7jYPrPkYHxi3povqHCBsGHTj21iCuUdFgTScGKUJaRS,1774692395,2026-03-28T10:06:35.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
