Account,Token Account,Quantity,Percentage
DBbE5U4QCn3P5gN3qM1DoSSCyWErVGxHic2o3VGredPK,3qZ1mt12SopveXjc5gkJRPx6LnJ4nUSyZbKNjk7n8kbk,7026376.07955166,0.70
5HAjsEM1sxXLPZHTQTnJxL32eJdxCaj27cXddN7BVQyG,2ciUfLb8PwdPRNQcJZmdwpWp3dB1Qa3N88RyebQQGGwa,6200000,0.62
5c8tFHXKKQfU8oE7SBCUMrr5uVXnWbpoqoBnBHzN7wpd,a86e5XWagbQsdQ7hwvgV5FHWS8migX218WFxVTXaAsL,5876486.468317122,0.59
CJ3EhcWU93M1Qt4PmjpFLzd9MAUNdEs4WZmmqyVN4M2A,9WoWUg2PjxGTGTQEAHPKFVyHt1e2PxjBb9GgEGWEKiPE,5723276.708436816,0.57
PrXXTmzWuYNrrVGhueGYeEHufTfR96udW4yp3VnX185,BPpJbKtnvLFUjZbBPgjes1adQbZZ2BTsfD4u43jfi9gz,5600000,0.56
5nJs7EtCH9v4zdk5rxzzR8EbAbsb53LopfuhESy6DCcX,87QmvcnVp6FAGVYs3esFDt1bZZsYxNSA4ZQ2MacZNTuc,5505280.088000103,0.55
92wvRxnPKbPa12Wy12jEUUV2hgkvrXXxCubRuLkQjS5e,DqS2cSqkYtZLikC8WNavb9jQXX4a76EwDeTpkjr4S8am,5383118.850308212,0.54
BELyTUnKFHBGbdseMkuxsrSGk82HyTVPVHg95vgd3Pcd,48tWh281R5GZGrtbhv3AzMUUfGHGf1n9vW29tzCKpqJq,5288392.153061046,0.53
EQGuHysoEdjnk7sst8WqK8BZEmju8VhUf52xmmueYTUa,EkRREzhRrCDYpRT6VeFtarPapBnnNLHnRsYTReEGUEi3,5185728.494811412,0.52
7ZJjxYo2SqEmDNZLxY8zEfLeY78r4LeArnsaQFPn3SsN,C9SP8tg2GH2VsnZorTPmuyfpWBw4RepxmYUKTYMjgMvW,5179566.999191752,0.52
BewKRiggMNcEy5dJ68sUZY4zmBem1QqgsiPJyfbPZiBL,D6K39ww4SLqF3bHqUY9Uuhk71U96acgeR98uRzZPYzeb,5058706.937660347,0.51
ACsrZrN54tRLddZL3qaxCDKYYEPP8kahogSkssLXveAa,J3gSFvM4HsAd4xHwhLYrrJNT56DkaPhBcQKEXDBJqZyM,5029967.36167413,0.50
HCw8hKqSahdjY2y7UNubUyMBd521ZJUxB2Eg1VnbSz3W,FLGH4qwXK4zT2UoXD7QjhSgYeYvt66mG1RniPPLEUva7,5003360.388951877,0.50
8sPr8iXWB3qWCC7V82ffYydtqoNjqwHZq4TM4VfVzFBf,4k8TKPpGWQLL1GLtnTFxuX7uX2Zy6F7K6NE2yt5sFXvp,5000000,0.50
9XDMdsVpJcyhmietNzA9j7V1bf2rWx2oawfM9FXTGYW2,G9tXXQqhKpSmGKvSQLaNWRBVaDa69hutnFyVdJAH7und,4945048.071096513,0.49
29ceMB1sExDXsNJK9ghESybFKFZDDnShXZnddXMZgH8t,2XpGoSQU99X3kAtVbqLLxbaH715Pm8JrnALWiW7YQhdU,4939344.775669963,0.49
ExtXWaY8E12SzyGo6aM7ocCEx5gz8mCWVvHpKS9VMjWN,4VBA2TjgefjcuLN4rBgQ6xWzqbzcHdggfFUNhJj99rKx,4936505.229284929,0.49
4FJMMApj1gWicoBnqwvdKtaHSV9CKnJZ8VNfFJ6cHnTL,BePVE1TASH6JHbx1DqkYbedCHRPMRyhqEG8XFsF1qC44,4915393.352285214,0.49
6n9jZAjQeVUz1FsDSDLm1mgZcWo386yd7ygXaiYm2THf,678WLkLhPE5fJ96gXoYMNLxUK9nUKaZbQirY2MkVdvwQ,4669936.813495931,0.47
Et4Hh4MWYXFTYiKcoHLKxDe2LuYD1imKKKv26gSYcSkM,CFoDw8royfRgLRWXEfLdvvj5CrwVQgUd5HJoJjs8x9H3,4277734.057739756,0.43
2D784egjCcHsRqHUyWQ7kd8da7hN3gwTWCgq7ZwUFLWo,HCjzhZW66UR5aG868XpgxqFjdCV1pTnRPLonypiLgdzG,4053746.837494978,0.41
H51vYbjJ4puULsgJW5PKVtNmDWvKqmyz675WFEuKsVSP,BmJfkZD4VxjiLyK23srinYGBfk6VsWRnUhQiUd5HwMif,3993379.310225765,0.40
3uej23HcLQ2E3TWm17Wn16bRukSfuJuTpAFa5byXJWrq,BZk735Sdi1jaRRNVfbiL5oQPkidqoshsjULQTGSaigYF,3850855.361586419,0.39
EdhCBTE54Sr4jGPNUDXcJnHextTwZ1BD2CnpGBP7vxge,CHEnvYNsgaUnE7okR2AS4zELXCwfT4FGpcqyc4nCmqTX,3667312.171372148,0.37
2MRDudXE6wG6Rb1qCpirdwzALo8eQTACFbGvwync5H6W,3JFurESKB4FUgBoi9v3pJrrd8Pf4i2kybzTxpDKZTu2f,3613867.987725065,0.36
GKUYydnFkzqwZDi8EXKxmKXx1xkDsrX3sFZmHbr2ubCo,HfVwA2cpmdpb3Wx3qaXFfKDYUySa8MRm4Kx7pM7P2s3Q,3532546.648319197,0.35
